filename,RMSE mf,RMSE nisf,RMSE sf,RMSE sfTP,T,WRMSE mf,WRMSE nisf,WRMSE sf,WRMSE sfTP,fieldNum,velVariance
MSE_0.2_fieldMeas_5_T4_0.txt,2.6019291957903357,2.590227149461867,2.6013065545759795,2.6021693816028093,4,0.00131508,5.04578766e-12,0.02793392,0.02789389,5,0.0
MSE_0.2_fieldMeas_5_T5_0.0.txt,11.340938151265597,11.34078850804504,11.341767032635591,11.341837896439328,5,0.55542336,5.94912235e-09,0.68699341,0.68650285,5,0.0
MSE_0.2_fieldMeas_5_T5_0.1.txt,18.301395945662783,18.311744456220882,18.311028950468856,18.406677661870695,5,0.71108386,6.32316089e-13,1.76076229,1.77087812,5,0.1
MSE_0.2_fieldMeas_5_T5_0.2.txt,8.078872713874562,7.974286356125085,7.810497381865851,8.008149851376409,5,0.00792154,6.53789882e-12,0.28373942,0.32684007,5,0.2
MSE_0.2_fieldMeas_5_T6_0.1.txt,0.5578178019790186,0.5465200234471991,0.5464935417532591,0.5510351574160709,6,0.00032441,1.25622844e-13,0.00139932,0.00141058,5,0.1
MSE_0.2_fieldMeas_5_T6_0.2.txt,10.35639150484734,10.833548771167262,11.428966547630788,11.331216556831949,6,0.00109902,6.64583943e-13,0.43891527,0.47220264,5,0.2
MSE_0.2_fieldMeas_5_T6_0.txt,0.4864225724417512,0.7222358101866562,0.48658574884811606,0.4865851562443588,6,0.0011381,4.163768e-14,0.00155698,0.00155762,5,0.0
MSE_0.2_fieldMeas_5_T7_0.1.txt,1.823389031521888,1.7631358385436775,1.7624474970991033,1.7484535192103388,7,0.00018068,4.94339945e-12,0.02450967,0.02405802,5,0.1
MSE_0.2_fieldMeas_5_T7_0.2.txt,1.2623597831778197,0.9951638493504961,1.228408012379725,1.2321690456122634,7,0.0001386,5.8634776e-13,0.005506,0.00524262,5,0.2
MSE_0.2_fieldMeas_5_T7_0.txt,15.634510484793209,15.634567321153574,15.633669223664576,15.649999258335995,7,0.14564585,7.18722509e-11,1.21689365,1.21736619,5,0.0
MSE_0.2_fieldMeas_5_T8_0.0.txt,0.9744117080156524,0.9844503212678062,0.9716270355998926,0.9846852481273192,8,0.00027701,8.04643261e-12,0.00534141,0.00538881,5,0.0
MSE_0.2_fieldMeas_5_T8_0.1.txt,0.6101383375514388,0.7222358101866562,0.6103232248912994,0.6098511176965118,8,0.00132996,2.92906252e-16,0.00157168,0.00157365,5,0.1
MSE_0.2_fieldMeas_5_T8_0.2.txt,4.712350058601696,4.275101234548912,4.431683717252187,5.3575843783838275,8,0.0007667,2.42296089e-12,0.07831039,0.09599956,5,0.2
MSE_0.2_fieldMeas_5_T9_0.1.txt,18.2651726807811,18.26529437865933,18.265035181713436,18.26525513005793,9,1.75143308,-2.10307651e-06,1.7834377,1.81564282,5,0.1
MSE_0.2_fieldMeas_5_T9_0.2.txt,10.512526651000258,10.54708125078833,10.552960894304679,10.698459107432342,9,0.01103329,1.56360078e-11,0.47867935,0.54941789,5,0.2
MSE_0.2_fieldMeas_5_T9_0.txt,0.019611658564345293,0.0197841728801573,0.01955111081568467,0.019617602797010275,9,2.54677495e-06,2.49408346e-14,2.27440606e-06,2.27734542e-06,5,0.0
MSE_0.2_fieldMeas_9_T0_0.1.txt,9.832156210686575,9.887971890847174,9.8319758566056,9.832358302125435,0,0.74801051,2.18618142,0.70390244,0.70718817,9,0.1
MSE_0.2_fieldMeas_9_T0_0.2.txt,8.837889867971432,8.76291451342994,8.830952650930206,8.721152069392494,0,0.00509075,4.35493422e-11,0.27282803,0.29521525,9,0.2
MSE_0.2_fieldMeas_9_T0_0.txt,9.238983641134507,9.229968595918223,9.240400534599042,9.233555347517122,0,0.01339557,9.66288968e-11,0.23988949,0.24169393,9,0.0
MSE_0.2_fieldMeas_9_T1_0.1.txt,9.018112069630568,8.8944352166886,9.03606531631647,8.954229184726538,1,0.00248002,3.894534e-11,0.21454085,0.24326777,9,0.1
MSE_0.2_fieldMeas_9_T1_0.2.txt,6.766744548732575,6.766662727793016,6.766582578355919,6.767424870375193,1,0.26761301,5.64721147e-06,0.28348398,0.28940403,9,0.2
MSE_0.2_fieldMeas_9_T1_0.txt,7.460815397709339,7.479798821217161,7.462279416955183,7.531722311397422,1,0.00926614,-1.04636336e-10,0.23911304,0.23887074,9,0.0
MSE_0.2_fieldMeas_9_T2_0.1.txt,9.5307605725723,9.518060589380317,9.542805783949149,9.523054773530315,2,0.00101556,1.22354922e-10,0.29319262,0.29883712,9,0.1
MSE_0.2_fieldMeas_9_T2_0.2.txt,9.7308009952441,9.701350774488516,9.729619003457568,9.714353410678353,2,0.02101046,1.13565649e-10,0.28040311,0.30754226,9,0.2
MSE_0.2_fieldMeas_9_T2_0.txt,9.654843861299081,9.65140072546318,9.655502945567694,9.653378929250184,2,0.00930715,5.32283013e-10,0.29590209,0.29630415,9,0.0
MSE_0.2_fieldMeas_9_T3_0.1.txt,9.640842107705161,9.887971890847174,9.621486711295704,9.59173704514179,3,0.00156719,2.1873478,0.27219869,0.28146179,9,0.1
MSE_0.2_fieldMeas_9_T3_0.2.txt,6.407838681742671,6.574338276403166,6.748747513856835,6.224515212084724,3,0.00142099,1.3605783e-11,0.10608057,0.15225558,9,0.2
MSE_0.2_fieldMeas_9_T3_0.txt,9.736004020348823,9.887971890847174,9.732830979742669,9.732198626570293,3,0.00709457,0.00067592,0.26441203,0.26405125,9,0.0
MSE_0.2_fieldMeas_9_T4_0.1.txt,7.380703822920909,7.369556147931754,7.3838103761635345,7.367105425934603,4,0.05172247,8.83326217e-08,0.22205204,0.22313665,9,0.1
MSE_0.2_fieldMeas_9_T4_0.2.txt,10.060347632394425,10.041557630963878,10.055926378369772,10.060544723470283,4,0.20542445,4.19188535e-08,0.52614483,0.54901213,9,0.2
MSE_0.2_fieldMeas_9_T4_0.txt,8.115852418702886,8.113047047661873,8.118212998968179,8.12000421864502,4,0.13107603,4.16261425e-08,0.24829108,0.25107624,9,0.0
MSE_0.2_fieldMeas_9_T5_0.0.txt,9.647300173112319,9.65145775989804,9.667540926469574,9.658720717743941,5,0.00729578,1.10420356e-09,0.2373995,0.23262008,9,0.0
MSE_0.2_fieldMeas_9_T5_0.1.txt,2.942985938817042,2.913628089131345,2.900783307951003,2.9316850340787792,5,0.00246342,3.73941337e-11,0.03952706,0.04257392,9,0.1
MSE_0.2_fieldMeas_9_T5_0.2.txt,9.814358282468332,9.883027325449588,9.846807671758599,9.84915816439332,5,0.00381822,0.00283379,0.32223252,0.27030742,9,0.2
MSE_0.2_fieldMeas_9_T6_0.1.txt,9.358600600020797,9.887971890847174,9.410305916539677,9.337577534178191,6,0.00551378,2.18836117,0.20068604,0.22378115,9,0.1
MSE_0.2_fieldMeas_9_T6_0.2.txt,9.221998892572975,9.887971890847174,9.23451422154425,9.430378240988972,6,0.00026762,2.62527951e-12,0.24208123,0.25215531,9,0.2
MSE_0.2_fieldMeas_9_T6_0.txt,9.842093457142893,9.887971890847174,9.839192121852797,9.840895405267837,6,0.25653874,2.18621314,0.37346818,0.37501278,9,0.0
MSE_0.2_fieldMeas_9_T7_0.1.txt,9.232967831183574,9.232845791782667,9.221312917959512,9.260237810439005,7,0.00853286,1.14043355e-10,0.31221742,0.31070783,9,0.1
MSE_0.2_fieldMeas_9_T7_0.2.txt,9.456476707192733,9.539556544497927,9.522574508638522,9.365016115678648,7,0.00114875,1.92574721e-09,0.26938178,0.29118535,9,0.2
MSE_0.2_fieldMeas_9_T7_0.txt,8.947435670287792,8.911477082058411,8.957366618592246,8.950437954201822,7,0.01217126,9.69380131e-11,0.24884244,0.24914059,9,0.0
MSE_0.2_fieldMeas_9_T8_0.0.txt,8.420828154185298,8.429793886642956,8.41546169763508,8.425985961053735,8,0.00588782,1.06724416e-10,0.25448246,0.25525476,9,0.0
MSE_0.2_fieldMeas_9_T8_0.1.txt,8.74835172342189,8.80501625678174,8.80679768860432,8.705399889731346,8,0.00576135,8.16839759e-11,0.21500921,0.22218761,9,0.1
MSE_0.2_fieldMeas_9_T8_0.2.txt,9.19161261024117,9.141275835794897,9.13469157690893,9.044562179898122,8,0.00061873,3.85937182e-11,0.26413471,0.27839239,9,0.2
MSE_0.2_fieldMeas_9_T9_0.1.txt,7.105064270402199,7.084221417680811,7.08569327719287,7.051250781939961,9,0.00456664,7.34735906e-10,0.19460764,0.21292677,9,0.1
MSE_0.2_fieldMeas_9_T9_0.2.txt,9.405571724276147,9.407969433833836,9.408100723377881,9.421150422156263,9,0.22779799,4.32776438e-06,0.38185254,0.40326169,9,0.2
